from	to
10133797	262432
2593810	10133797
2066786	10133797
10629062	10133797
4684861	1665160
4684861	1782792
8733347	10133797
8733347	6590393
2991243	10133797
866082	2097240
11861082	10133797
11861082	2097240
11861082	12192957
11861082	744616
9624112	10418086
9624112	1782792
4146344	2097240
5601592	12192957
5601592	9828197
9855577	10133797
9855577	7212365
10371314	10133797
10371314	12118774
10371314	12023442
4607066	12118774
9119995	10133797
11368194	11207938
11368194	5597718
132785	1782792
11573842	11220884
5808336	1190882
2061651	1782792
11901732	2912518
11901732	8366805
12244488	10418086
3899975	3250829
3899975	2790047
2886575	7212365
2886575	1782792
238232	10133797
6657314	1782792
1543083	10133797
1543083	349130
12213054	3214872
9299942	10133797
8334261	4373898
8334261	9393102
2593878	1782792
7238787	1190882
6748145	10133797
6748145	523612
6748145	11292489
7815941	11220884
7815941	8563649
7815941	2846923
7537870	10133797
7537870	7212365
2034850	7212365
2034850	12192957
2034850	12134850
2034850	10411744
10392393	1782792
10392393	4615566
4896449	1782792
12209793	1190882
12209793	7331631
12209793	5136550
1709088	423926
7296485	7212365
7296485	11220884
7296485	7331631
635523	1782792
826983	3214872
826983	5136550
2163392	349130
2163392	5974433
2163392	8625500
1318499	2097240
10418086	4373898
6997665	3337089
6997665	1782792
6997665	921729
5925476	7212365
1719931	1782792
3924118	1782792
9235106	1782792
12121241	11220884
12121241	6370655
12238214	1782792
6405137	1782792
2252698	3214872
8564860	349130
10561436	1190882
10286273	1190882
7409920	7212365
8100895	423926
8100895	2846062
8100895	1699075
8100895	7985142
2912518	7212365
1319915	5974433
4619817	5136550
11673522	7212365
8836053	1190882
7788402	10878733
1745048	5136550
7656080	10133797
1009508	12118774
12285749	1782792
11423611	8398247
11423611	12248686
11423611	992600
11423611	5810950
11423611	901925
245549	9110142
245549	10809912
245549	8342910
245549	6901690
9933449	10886420
9933449	10202729
9933449	2455494
9933449	10455493
7020624	2641587
11277304	11192099
11277304	1967571
11277304	8625500
11277304	9849170
8104036	9924439
8104036	7943474
239879	2097240
239879	6901690
239879	10886420
239879	7454706
239879	366553
4729764	10886420
4729764	10923002
4729764	5884955
5495381	2891324
4948889	10878733
4948889	5495381
4948889	9396051
3259896	5884955
3259896	1868775
3259896	1735003
4790871	2097240
4790871	9828197
10155767	1735003
3016483	3987085
3016483	7943474
6898433	10886420
9251158	5884955
3601960	3214872
2942412	353308
2942412	8593338
5865579	5495381
5865579	7805917
5865579	1462770
1653453	11774761
1653453	5786339
3041068	1782792
3041068	1373669
988709	2097240
988709	1714410
988709	11669446
988709	1621414
9328846	11125723
9328846	11731732
9328846	5140223
6700151	5368083
6700151	9393102
3954958	7454706
3954958	8788960
4396475	5140223
1352749	8625500
4789373	11530462
7758413	2455494
6842947	5154274
7934786	5094841
7934786	8380272
7934786	1699075
226526	1190882
226526	5140223
373655	423926
373655	1735003
373655	2154440
11210476	2891324
10595337	5786339
10595337	5154274
9820369	2891324
9820369	4909087
4561745	867889
4561745	9393102
11118883	1621414
1217998	349130
1217998	367273
5116025	7454706
8531487	2455494
7169491	10886420
9163366	5154274
10922166	10951310
3987085	901925
3987085	1803124
3987085	9274732
3987085	3275464
11731187	9393102
11731187	5140223
9636774	5786339
433570	2891324
433570	3197668
433570	11390620
2378622	5495381
2378622	7846405
2378622	6280540
139150	10809912
139150	12226012
8038245	1462770
3736306	10878733
3736306	3987085
3736306	9393102
3736306	10400883
7766158	5652313
3616293	901925
3616293	3752281
6510273	5786339
6510273	5154274
6510273	9457030
6510273	6117017
6510273	11147295
10249197	3214872
4411131	5154274
7248145	1782792
7248145	5154274
290443	1782792
7850499	2455494
9754177	5786339
2149707	9883438
4028648	5140223
11860666	11530462
4426009	2097240
4426009	3595278
3516936	5154274
10710212	5786339
10710212	5154274
3337089	11065347
587021	2641587
2451763	10878733
10420509	7059474
10918873	2097240
10712505	7389608
1866775	1782792
1866775	9883438
7212365	10133797
7212365	867889
3674176	5140223
11478452	7389608
7560008	423926
820833	10886420
820833	1471022
10285105	5154274
5265527	1868775
5265527	8593338
6714608	5495381
6714608	5597718
6714608	8860764
6714608	6858244
6714608	2878244
6714608	9362747
1269281	5154274
1269281	8375120
867889	3987085
867889	2891324
6197534	5786339
2543622	2097240
5048010	5495381
5048010	2641587
9144990	1782792
9144990	7389608
9144990	9698684
9144990	11015427
1930737	9393102
11037865	5597718
11037865	6036772
2230045	2956066
2230045	4983450
2230045	7077050
3084689	2891324
1150683	10886420
7327257	1782792
1654930	5154274
1654930	2956066
10133610	1621414
3861775	1782792
3861775	2641587
3861775	5786339
3861775	9883438
5920668	3987085
5920668	3302563
5920668	2161778
72583	1782792
4877104	5495381
4850133	1782792
12118244	5786339
11541912	1699075
8946701	7389608
10870968	9565342
10870968	349130
3236215	5154274
1435046	5154274
1435046	5499527
11190642	2641587
10726895	1782792
2243184	1782792
4345719	2641587
6919063	5884955
4541944	9698684
4541944	4932316
567620	2097240
567620	4867484
1519955	5597718
1519955	8234169
12010696	8563649
5535604	11530462
5535604	9074534
4958717	3214872
7655027	2455494
1886357	5140223
1886357	11666391
1133286	7059474
5113410	4909087
11640774	6117017
10929548	2455494
4727788	7389608
7105492	5154274
7105492	11374868
10227526	2891324
1050648	5154274
6617195	867889
6617195	5652313
6617195	5154274
11249772	10886420
10463548	1782792
8413477	1782792
8413477	1373669
11061454	2097240
11055762	5786339
10311158	9883438
9565342	1462770
3851047	9828197
11893504	1782792
5531816	5810950
11831676	2455494
6642021	2455494
10748773	5140223
8512669	2455494
2680707	1782792
626537	867889
5349476	867889
5349476	10951310
11484456	2455494
10092506	423926
10092506	11530462
7133431	5154274
5807031	5154274
3187403	5154274
9929884	5786339
9929884	3595278
9929884	7093741
9186974	2641587
9186974	1427424
2647513	7389608
7034613	1782792
5368083	7059474
5368083	1466792
3466910	5786339
4688722	7389608
8372455	11065347
8372455	9140084
11096006	1782792
2796123	1782792
1984680	10787274
6195861	7389608
10449967	2455494
11208496	3987085
11208496	1782792
5597531	3987085
10897543	1782792
4699994	10455493
4699994	10001536
3314143	2641587
3314143	10787274
5989288	5810950
5989288	11669446
8316412	349130
8316412	10371987
1191087	5154274
1191087	887802
9772204	5154274
6637138	2097240
7766024	1782792
7766024	2455494
6458245	3250829
6458245	349130
6458245	11588671
2359080	1621414
2443944	9393102
4051544	1782792
4051544	5154274
3753287	11015427
6239947	3987085
7779411	1782792
7779411	5600318
3319713	5786339
7703497	10886420
2723224	5495381
10709127	9393102
5052482	1868775
5052482	3991470
11713857	10418086
11713857	1782792
11713857	2036766
7748163	2097240
11801882	1782792
11801882	6265630
11718632	9393102
11733048	2455494
11733048	10685311
9364931	2097240
7713497	4790871
906835	5154274
4947590	2956066
5652313	3607203
4975860	5154274
4975860	7259671
5046896	1803124
2961244	4789373
8807447	5154274
9301213	5154274
4985990	5154274
4985990	10868996
1576254	5786339
